gov_id,gov_name,old_hubs,hub_count
us:place:4752006,"Nashville-Davidson, TN",nashville|nashville-davidson-county-tn|nashville-davidson-tn,3
us:place:0812415,"Castle Rock, CO",castle-rock-co|the-town-of-castle-rock-co|town-of-castle-rock,3
us:place:3668462,"Southampton (village), NY",southampton|southampton-ny|southampton-village-ny,3
us:place:5516450,"Columbus (city), WI",columbus-city-wi|columbus-wi|columbus-wisconsin-meetings-hub,3
us:place:4254184,"Newtown (borough), PA",newtown-borough-pa|newtown-pa|township-of-newtown,3
us:place:5517175,"Cottage Grove (village), WI",cottage-grove-village-wi|cottage-grove-wi|village-of-cottage-grove-wi,3
us:place:2021275,"Emporia (city), KS",emporia-city-ks|emporia-ks,2
us:county:06055,"Napa County, CA",county-of-napa-ca|napa-county-ca,2
us:place:2938000,"Kansas City, MO",kansas-city|kansas-city-mo,2
us:place:5553000,"Milwaukee, WI",milwaukee|milwaukee-wi,2
us:place:2148006,"Louisville/Jefferson County, KY",louisville-jefferson-county-ky|louisville-ky,2
us:place:0656000,"Pasadena, CA",pasadena|pasadena-ca,2
us:county:06071,"San Bernardino County, CA",county-of-san-bernardino-ca|san-bernardino-county-ca,2
us:county:32003,"Clark County, NV",clark-county-nv|county-of-clark,2
us:county:53033,"King County, WA",king-county|king-county-wa,2
us:county:06085,"Santa Clara County, CA",county-of-santa-clara-ca|santa-clara-county-ca,2
us:county:06081,"San Mateo County, CA",county-of-san-mateo-ca|san-mateo-county-ca,2
us:county:06041,"Marin County, CA",county-of-marin-ca|marin-county-ca,2
us:place:5107784,"Blacksburg, VA",blacksburg-va|town-of-blacksburg,2
us:place:0608954,"Burbank, CA",burbank|burbank-ca,2
us:place:2717000,"Duluth (city), MN",duluth-city-mn|duluth-mn,2
us:place:1225175,"Gainesville, FL",gainesville|gainesville-fl,2
us:place:1728326,"Galesburg (city), IL",galesburg-city-il|galesburg-il,2
us:county:27053,"Hennepin County, MN",county-of-hennepin-mn|hennepin-county-mn,2
us:county:15003,"City and County of Honolulu, HI",city-and-county-of-honolulu-hi|honolulu,2
us:county:24027,"Howard County, MD",howard-county|howard-county-md,2
us:cousub:3610337000,"Huntington Town, NY",huntington-town-ny|town-of-huntington,2
us:place:0137000,"Huntsville, AL",huntsville-al|huntsville-ordinance-no,2
rtr:us:ca:judicial-council-of-california,"Judicial Council of California, CA",california|judicial-council-of-california-ca,2
us:place:5548500,"Manitowoc (city), WI",manitowoc-city-wi|manitowoc-wi,2
rtr:us:ca:los-angeles-county-metropolitan-transportation-authority,"Los Angeles County Metropolitan Transportation Authority, CA",los-angeles-county-ca|los-angeles-county-metropolitan-transportation-authority-ca,2
us:place:0453700,"Payson, AZ",payson-az|town-of-payson,2
us:place:1256625,"Pinecrest, FL",pinecrest-fl|village-of-pinecrest-fl,2
us:place:0662000,"Riverside, CA",riverside|riverside-ca,2
us:place:2754880,"Rochester (city), MN",rochester-city-mn|rochester-mn,2
us:place:0669084,"Santa Clara, CA",santa-clara|santa-clara-ca,2
us:county:53057,"Skagit County, WA",county-of-skagit-wa|skagit-county-wa,2
us:place:2758000,"St. Paul, MN",saint-paul|st-paul-mn,2
us:place:1263000,"St. Petersburg, FL",st-petersburg|st-petersburg-fl,2
rtr:us:tx:tarrant-county-college-district,"Tarrant County College District, TX",tarrant-county-college-district-tx|tarrant-county-tx,2
us:cousub:4209179008,"Upper Dublin Township, PA",upper-dublin-pa|upper-dublin-township-pa,2
us:state:51,State of Virginia,state-of-virginia|virginia,2
us:place:1275812,"Wellington, FL",village-of-wellington-fl|wellington-fl,2
us:place:0685922,"Windsor, CA",town-of-windsor|windsor-ca,2
us:place:3775000,"Winston-Salem, NC",lees-summit|winston-salem-nc,2
us:place:5138424,"Hopewell, VA",hopewell-borough-va|hopewell-va,2
ca:csd:3537028,"Amherstburg, ON",amherstburg-on|town-of-amherstburg-on,2
ca:cd:3541,"Bruce, ON",bruce-county|bruce-on,2
ca:csd:3518017,"Clarington, ON",clarington|clarington-on,2
ca:csd:3514021,"Cobourg, ON",cobourg-on|town-of-cobourg-on,2
ca:csd:3543031,"Collingwood, ON",collingwood-on|town-of-collingwood-on,2
ca:csd:5915011,"Delta, BC",delta|delta-bc,2
ca:csd:3523017,"Erin, ON",erin-on|town-of-erin,2
ca:csd:3526003,"Fort Erie, ON",fort-erie-on|town-of-fort-erie-on,2
ca:csd:3519070,"Georgina, ON",georgina-on|town-of-georgina-on,2
rtr:ca:on:hamilton-police-services-board,"Hamilton Police Services Board, ON",hamilton|hamilton-police-services-board-on,2
ca:csd:3519036,"Markham, ON",markham|markham-on,2
ca:csd:3524009,"Milton, ON",milton-on|town-of-milton-on,2
ca:cd:3521,"Peel, ON",peel-on|peel-region-on,2
ca:csd:3518001,"Pickering, ON",pickering|pickering-on,2
ca:cd:3530,"Waterloo, ON",region-of-waterloo-on|waterloo-on,2
us:place:0660620,"Richmond, CA",richmond|richmond-ca,2
ca:csd:3522010,"Grand Valley, ON",grand-valley-on|town-of-grand-valley-on,2
ca:csd:3518039,"Brock, ON",brock-on|township-of-brock,2
ca:csd:5917034,"Victoria, BC",victoria|victoria-bc,2
us:place:0602252,"Antioch, CA",antioch|antioch-ca,2
us:place:0832155,"Greeley, CO",greeley|greeley-co,2
us:place:5531000,"Green Bay (city), WI",green-bay-city-wi|green-bay-wi,2
us:place:4950150,"Millcreek, UT",mill-creek|millcreek-ut,2
us:place:1758447,"Pekin (city), IL",pekin|pekin-city-il,2
us:place:0632548,"Hawthorne, CA",hawthorne|hawthorne-ca,2
us:place:0640130,"Lancaster, CA",lancaster|lancaster-ca,2
ca:csd:3543003,"Adjala-Tosorontio, ON",adjala-tosorontio-on|township-of-adjala-tosorontio-on,2
us:place:2708794,"Burnsville, MN",burnsville|burnsville-mn,2
us:place:1700243,"Addison (village), IL",addison-village-il|village-of-addison-il,2
us:county:12001,"Alachua County, FL",alachua-county-fl|county-of-alachua-fl,2
us:place:4202000,"Allentown, PA",al|allentown-pa,2
rtr:us:ca:los-angeles-department-of-water-and-power,"Los Angeles Department of Water and Power, CA",los-angeles-ca|los-angeles-department-of-water-and-power-ca,2
us:place:3711800,"Chapel Hill, NC",chapel-hill-nc|town-of-chapel-hill,2
