gov_id,gov_name,old_hubs,hub_count
rtr:ca:on:toronto-and-region-conservation-authority,"Toronto and Region Conservation Authority, ON",markham|mississauga-on,2
us:county:06003,"Alpine County, CA",alpine|alpine-county-ca,2
us:place:0616000,"Concord, CA",concord|concord-ca,2
us:place:5136648,"Herndon, VA",herndon|herndon-va,2
us:place:1709447,"Buffalo Grove, IL",buffalo-grove-il|buffalo-grove-village-il,2
us:cousub:3403507180,"Branchburg Township, NJ",branchburg-nj|township-of-branchburg-nj,2
us:place:0640354,"La Quinta, CA",la|la-quinta-ca,2
us:county:12113,"Santa Rosa County, FL",santa-rosa|santa-rosa-county-fl,2
us:cousub:4400741500,"Lincoln Town, RI",lincoln-ri|town-of-lincoln-ri,2
us:place:5157000,"Norfolk, VA",norfolk|norfolk-va,2
us:county:36105,"Sullivan County, NY",sullivan-county-ny|town-of-sullivan-ny,2
us:county:12015,"Charlotte County, FL",charlotte|charlotte-county-fl,2
us:place:1241577,"Loxahatchee Groves, FL",loxahatchee-groves-fl|town-of-loxahatchee-groves-fl,2
rtr:us:xx:duncan,Duncan,duncan|duncan-town,2
ca:csd:3543007,"New Tecumseth, ON",new-tecumseth-on|town-of-new-tecumseth-on,2
rtr:us:ca:menlo-park-fire-protection-district,"Menlo Park Fire Protection District, CA",menlo-park-ca|town-of-atherton-ca,2
us:cousub:3610310000,"Brookhaven Town, NY",brookhaven|town-of-brookhaven-ny,2
us:county:51085,"Hanover County, VA",hanover|hanover-county-va,2
us:place:0645358,"Mammoth Lakes, CA",mammoth-lakes-ca|town-of-mammoth-lakes-ca,2
us:place:0649670,"Mountain View, CA",mountain-view|mountain-view-ca,2
us:county:08077,"Mesa County, CO",mesa|mesa-county-co,2
us:county:48121,"Denton County, TX",denton|denton-county-tx,2
us:cousub:0911025990,"Enfield Town, CT",enfield|enfield-ct,2
us:county:06017,"El Dorado County, CA",el-dorado-county-ca|eldorado,2
us:county:06019,"Fresno County, CA",county-of-fresno-ca|fresno-county-ca,2
us:county:06095,"Solano County, CA",county-of-solano-ca|solano-county-ca,2
us:place:4740000,"Knoxville, TN",knoxville|knoxville-tn,2
us:place:0633000,"Hayward, CA",hayward|hayward-ca,2
us:county:51009,"Amherst County, VA",amherst|town-of-amherst,2
us:county:06025,"Imperial County, CA",county-of-imperial-ca|imperial,2
rtr:us:xx:irvington,Village of Irvington,irvington|village-of-irvington,2
us:place:0642202,"Lodi, CA",lodi|lodi-ca,2
us:county:41051,"Multnomah County, OR",multnomah|multnomah-county-or,2
us:cousub:3611951693,"North Castle Town, NY",north-castle-ny|town-of-north-castle-ny,2
rtr:us:xx:northfield,City of Northfield,northfield|village-of-northfield,2
us:place:4852356,"North Richland Hills, TX",north-richland-hills-tx|unknown-jurisdiction,2
us:place:0677000,"Sunnyvale, CA",sunnyvale|sunnyvale-ca,2
us:cousub:2300526525,"Freeport Town, ME",freeport-me|town-of-freeport,2
us:county:24041,"Talbot County, MD",talbot-county|talbot-county-md,2
us:place:2679000,"Taylor, MI",taylor-mi|taylor-mi-city,2
us:cousub:2615512520,"Caledonia Charter Township, MI",caledonia-charter-township-mi|caledonia-township,2
us:county:20151,"Pratt County, KS",pratt|pratt-county-ks,2
us:county:37179,"Union County, NC",union-county|union-county-nc,2
us:place:1273900,"Venice, FL",venice|venice-fl,2
us:county:06063,"Plumas County, CA",county-of-plumas-ca|plumas-county-ca,2
us:county:48381,"Randall County, TX",randall|randall-county-tx,2
us:place:2965000,"St. Louis, MO",saint-louis-mo|st-louis-mo,2
us:place:0611530,"Carson, CA",carson|carson-ca,2
us:place:5105544,"Bedford, VA",bedford-va|town-of-bedford-va,2
us:county:37183,"Wake County, NC",wake|wake-county-nc,2
us:county:06023,"Humboldt County, CA",county-of-humboldt-ca|humboldt-county-ca,2
us:place:5517175,"Cottage Grove (village), WI",cottage-grove-wi|village-of-cottage-grove-wi,2
us:place:1770122,"Skokie, IL",skokie-il|village-of-skokie-il,2
us:place:3975602,"Sunbury, OH",sunbury-oh|village-of-galena,2
us:place:0660704,"Ridgecrest, CA",ridgecrest|ridgecrest-ca,2
