url,page_id,slug,platform,hours,shown_version_id,defect_signal,priority_rank,section,route
https://pub-cofs.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=58293cac-3902-4247-b308-e088f8570311&lang=English,783,cofs-2023-12-12-regular-council-meeting,escribe,1.37,3647,dead_air;loop,1,PILOT,local
https://pub-salinecounty.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=3966f7b8-157d-4697-8a3a-979ae42ffca9&lang=English,877,salinecounty-2026-01-20-board-of-county-commissioners,escribe,1.61,1270,dead_air;loop,2,PILOT,local
https://pub-grey.escribemeetings.com/Meeting.aspx?Agenda=PostMinutes&Id=f0963b51-e859-4e3b-84b8-5e291920f038&lang=English,793,grey-2026-07-09-committee-of-the-whole,escribe,1.86,979,dead_air;loop,3,PILOT,local
https://riversidecountyca.iqm2.com/Citizens/SplitView.aspx?Format=Agenda&MeetingID=3499&Mode=Video,206,riverside-county-ca-2026-08-12-rctc-gm-riverside-county-transportation-commissio,iqm2,1.91,254,dead_air;loop,4,PILOT,local
https://king.granicus.com/player/clip/11361?redirect=true&view_id=4,1229,king-county-2026-03-03-metropolitan-king-county-council-on-2026-03-03-1-30-pm-re,granicus,2.35,3659,dead_air;loop,5,PILOT,local
https://pub-brockton.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=6c349fc0-2fe5-41f1-abf4-fbdc006243fc&lang=English,775,port-colborne-resolution-2026-08-11-council-meeting,escribe,0.87,966,dead_air,6,MAIN,local
https://pub-uxbridge.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=03deab6d-e7bb-489d-87e1-7bae42f87ed2&lang=English,893,peterborough-attachments-2026-01-26-council-meeting,escribe,1.33,3676,dead_air;loop,7,MAIN,local
https://pub-hollister.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=299bd710-dc57-43b6-94c0-0f7cf8755477&lang=English,795,hollister-ca-2026-08-03-city-council-meeting,escribe,1.42,3649,dead_air;loop,8,MAIN,local
https://pub-greensboro-nc.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=61a49efe-41e6-4556-8586-5f08c4be580a&lang=English,837,greensboro-meeting-agenda-city-council-work-session-thursday-2026-02-05-city-cou,escribe,1.48,3657,dead_air,9,MAIN,local
https://cook-county.granicus.com/player/clip/5807?redirect=true&view_id=2,200,cook-county-il-2026-07-30-irfc-meeting-20260729-173040-meeting-recording,granicus,1.73,230,dead_air;loop,10,MAIN,local
https://pub-yorbalinda.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=152b7a1b-b69a-4712-8129-3ef87f5f5804&lang=English,900,yorba-linda-case-number-2026-01-20-council-meeting,escribe,2.04,3679,dead_air;loop,11,MAIN,local
https://pub-whitby.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=42e0a6b9-64d6-4c20-9249-1f4c912da0eb&lang=English,898,oshawa-2026-03-09-regular-council-meeting,escribe,2.17,1311,dead_air,12,MAIN,local
https://pub-westgrey.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=185f57ab-1987-4f83-a55d-e1f4690be27b&lang=English,905,westgrey-2026-02-03-council,escribe,2.30,1317,dead_air;loop,13,MAIN,local
https://pub-acwtownship.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=a7bd7498-169d-446f-9b56-b13cd98ab332&Item=7&Tab=attachments&lang=English,770,acwtownship-2025-05-20-9-00-a-m-hunter-s-beach-residential-community-petition-fo,escribe,2.36,962,dead_air;loop,14,MAIN,local
https://winston-salem.granicus.com/player/clip/4274?view_id=4,440,city-of-winston-salem-nc-2025-05-19-regular-meeting-of-the-winston-salem-city-co,granicus,2.49,785,dead_air;loop,15,MAIN,local
https://pub-rmwb.escribemeetings.com/Meeting.aspx?Agenda=Agenda&Id=69b8392a-f127-4d71-ab9a-b56599712216&lang=English,875,rmwb-2026-01-13-council-meeting,escribe,2.51,1266,dead_air;loop,16,MAIN,local
https://napacity.granicus.com/player/clip/3442?redirect=true&view_id=12,76,city-of-napa-2026-05-19-city-council-of-the-city-of-napa-on-2026-05-19-3-30-pm-3,granicus,2.63,175,dead_air;loop,17,MAIN,local
https://pub-leduc.escribemeetings.com/Meeting.aspx?Agenda=PostMinutes&Id=4f4f9c6d-4989-41c8-9e3f-1644ae919c48&Item=46&Tab=attachments&lang=English,851,leduc-2021-03-08-face-coverings-bylaw-options-council-meeting,escribe,2.74,3663,dead_air,18,MAIN,local
https://berkeley.granicus.com/player/clip/5432?publish_id=e388f85e-2074-11f0-955d-005056a89546&redirect=true,18,city-of-berkeley-special-city-council-meeting-6-00-p-m,granicus,2.79,25,dead_air,19,MAIN,local
